Offender Characteristics from NCRP,,Year,,,,,,,,,
State,Race/Hispanic Ethnicity of Inmate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WISCONSIN,"White, non-Hispanic",10262,10297,10421,10460,10473,10643,10640,10955,10904,10804
,"Black, non-Hispanic",9494,9407,9241,9092,9090,9252,9553,9736,9977,9900
,"Hispanic, any race",2034,2030,2022,2007,2069,2055,2065,2041,1950,1975
,"Other race(s), non-Hispanic",928,918,911,907,959,1017,1113,1204,1223,1268
,Missing,11,*,*,*,*,*,*,*,10,*
WYOMING,"White, non-Hispanic",1646,1711,1729,1761,1838,1856,1799,1876,1919,1871
,"Black, non-Hispanic",94,92,105,121,122,131,130,122,126,129
,"Hispanic, any race",253,240,228,262,281,294,289,312,327,302
,"Other race(s), non-Hispanic",119,139,141,166,142,144,154,163,172,177
,Missing,*,*,*,*,*,*,*,*,*,*
DISTRICT OF COLUMBIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
