"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±2,614","","","±0.5","±0.2","±0.2","±0.2","±0.1","±0.3","±0.2","±0.4","±0.5","","±0.6","±0.5","±0.5","±0.3","±0.3","±0.2","±0.2","","±0.5","±0.6","±0.7","±0.6","","±0.7","±0.6","±0.2","±0.1","±0.1","±0.1"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,252","","","96.7%","0.7%","0.4%","0.9%","0.0%","0.1%","1.2%","1.0%","95.9%","","16.9%","15.6%","21.4%","21.9%","13.4%","7.7%","3.2%","","7.5%","28.3%","27.8%","36.4%","","20.2%","39.0%","18.3%","11.4%","6.4%","4.7%"
"        Margin of Error","±1,155","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.3","±0.2","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.3","±0.5","±0.4","±0.5","","±0.4","±0.5","±0.4","±0.3","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","182,417","","","97.7%","0.2%","0.3%","0.6%","0.0%","0.1%","1.0%","0.7%","97.1%","","8.1%","15.5%","23.6%","25.8%","15.8%","8.3%","2.9%","","5.7%","27.7%","26.2%","40.4%","","8.9%","38.0%","22.9%","15.1%","8.8%","6.3%"
"        Margin of Error","±1,088","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.4","±0.3","±0.3","±0.2","±0.2","","±0.3","±0.6","±0.5","±0.6","","±0.4","±0.6","±0.5","±0.4","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,835","","","94.2%","1.7%","0.5%","1.5%","0.0%","0.3%","1.8%","1.8%","92.9%","","38.4%","15.9%","16.1%","12.3%","7.5%","6.0%","3.7%","","11.9%","29.7%","31.7%","26.7%","","47.6%","41.7%","6.9%","2.4%","0.6%","0.7%"
"        Margin of Error","±1,193","","","±0.4","±0.2","±0.1","±0.2","±0.1","±0.1","±0.3","±0.3","±0.4","","±1.1","±0.8","±0.8","±0.7","±0.5","±0.5","±0.4","","±0.7","±1.1","±1.1","±1.1","","±1.1","±1.1","±0.5","±0.3","±0.1","±0.1"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,041,710","","","73.2%","18.6%","0.3%","4.7%","0.1%","1.5%","1.8%","5.7%","69.4%","","19.7%","18.6%","21.4%","18.8%","12.3%","6.6%","2.7%","","10.7%","22.3%","28.7%","38.4%","","24.9%","41.6%","16.2%","8.2%","5.1%","4.0%"
"        Margin of Error","±9,225","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,028,244","","","79.3%","13.6%","0.2%","4.6%","0.0%","0.9%","1.4%","3.9%","76.6%","","10.1%","17.4%","23.7%","22.5%","15.5%","8.0%","2.9%","","9.0%","21.4%","27.1%","42.5%","","10.8%","43.1%","21.7%","11.5%","7.2%","5.7%"
"        Margin of Error","±12,264","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,013,466","","","61.0%","28.6%","0.3%","4.9%","0.1%","2.6%","2.5%","9.4%","55.1%","","39.0%","21.0%","16.8%","11.5%","5.9%","3.6%","2.4%","","13.9%","24.1%","31.9%","30.1%","","53.3%","38.6%","5.1%","1.7%","0.7%","0.6%"
"        Margin of Error","±5,608","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.4","±0.3","","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,645,396","","","83.0%","3.5%","1.2%","6.4%","0.4%","2.5%","3.0%","7.7%","78.4%","","21.1%","18.2%","20.2%","19.2%","12.1%","6.3%","3.0%","","8.2%","20.7%","36.6%","34.5%","","27.7%","43.1%","15.8%","6.9%","4.0%","2.5%"
"        Margin of Error","±5,534","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,658,540","","","87.1%","1.8%","0.9%","6.2%","0.2%","1.6%","2.2%","5.1%","84.0%","","10.1%","17.2%","22.8%","23.6%","15.5%","7.9%","2.9%","","5.8%","19.2%","35.3%","39.7%","","11.9%","45.6%","22.4%","10.2%","6.1%","3.8%"
"        Margin of Error","±8,615","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","986,856","","","76.0%","6.3%","1.7%","6.9%","0.7%","4.1%","4.3%","12.1%","69.0%","","39.5%","19.9%","15.7%","11.7%","6.3%","3.8%","3.1%","","12.1%","23.3%","38.7%","25.8%","","54.3%","39.1%","4.6%","1.3%","0.4%","0.3%"
"        Margin of Error","±6,195","","","±0.2","±0.2","±0.1","±0.2","±0.1","±0.1","±0.2","±0.2","±0.2","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.4","±0.3","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","742,359","","","95.0%","2.9%","0.2%","0.6%","0.0%","0.1%","1.2%","0.9%","94.3%","","16.6%","15.8%","19.3%","21.2%","15.0%","8.9%","3.3%","","15.0%","38.5%","26.4%","20.1%","","19.2%","36.8%","18.2%","10.4%","8.3%","7.2%"
"        Margin of Error","±2,723","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.3","±0.4","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","541,607","","","96.7%","1.7%","0.2%","0.4%","0.0%","0.1%","0.9%","0.7%","96.1%","","9.6%","14.9%","20.1%","23.7%","17.6%","10.5%","3.7%","","13.7%","39.3%","25.1%","21.8%","","9.0%","35.3%","22.2%","13.3%","10.9%","9.3%"
"        Margin of Error","±3,641","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.5","±0.3","±0.3","","±0.3","±0.4","±0.4","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","200,752","","","90.1%","6.1%","0.2%","1.2%","0.1%","0.3%","2.1%","1.4%","89.2%","","35.5%","18.1%","17.4%","14.5%","8.0%","4.4%","2.1%","","18.5%","36.1%","30.0%","15.4%","","46.5%","40.8%","7.2%","2.8%","1.2%","1.4%"
"        Margin of Error","±2,956","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.1","±0.2","±0.2","±0.4","","±0.7","±0.6","±0.6","±0.5","±0.4","±0.3","±0.2","","±0.6","±0.6","±0.7","±0.5","","±0.7","±0.7","±0.4","±0.3","±0.2","±0.2"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,293,250","","","90.0%","5.4%","0.8%","1.7%","0.0%","1.1%","1.1%","3.9%","87.4%","","20.3%","16.7%","21.0%","19.1%","11.8%","7.6%","3.5%","","8.3%","30.3%","32.9%","28.5%","","22.8%","40.5%","17.8%","8.2%","5.9%","4.8%"
"        Margin of Error","±5,079","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,551,769","","","94.8%","2.3%","0.6%","1.2%","0.0%","0.5%","0.7%","2.4%","93.1%","","11.3%","16.7%","23.5%","22.6%","14.3%","8.6%","3.1%","","6.3%","29.8%","31.6%","32.2%","","9.5%","40.7%","23.4%","11.3%","8.4%","6.7%"
"        Margin of Error","±7,017","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","741,481","","","80.0%","11.9%","1.2%","2.8%","0.0%","2.2%","1.8%","7.2%","75.4%","","39.2%","16.7%","15.7%","11.8%","6.6%","5.5%","4.6%","","12.6%","31.1%","35.6%","20.6%","","50.8%","39.9%","6.0%","1.7%","0.7%","0.8%"
"        Margin of Error","±4,349","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","±0.2","","±0.2","±0.4","±0.4","±0.3","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","225,514","","","93.5%","0.9%","1.5%","0.7%","0.0%","1.7%","1.7%","6.9%","89.0%","","23.5%","15.9%","19.0%","20.5%","12.1%","6.4%","2.5%","","6.8%","27.3%","39.9%","26.0%","","27.0%","41.3%","15.4%","8.1%","5.1%","3.1%"
"        Margin of Error","±1,392","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.2","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","","±0.4","±0.6","±0.7","±0.6","","±0.7","±0.7","±0.5","±0.3","±0.3","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","156,289","","","95.2%","0.5%","1.1%","0.5%","0.0%","1.4%","1.2%","5.6%","91.5%","","14.0%","15.2%","20.9%","24.7%","14.9%","7.8%","2.6%","","6.0%","26.3%","39.1%","28.6%","","13.5%","43.8%","20.3%","11.0%","7.1%","4.3%"
"        Margin of Error","±1,616","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","±0.4","","±0.5","±0.4","±0.5","±0.4","±0.4","±0.3","±0.2","","±0.4","±0.7","±0.7","±0.8","","±0.5","±0.8","±0.6","±0.5","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69,225","","","89.5%","1.7%","2.5%","1.1%","0.1%","2.4%","2.6%","9.6%","83.4%","","45.2%","17.7%","14.9%","10.9%","5.7%","3.4%","2.3%","","8.6%","29.5%","41.6%","20.3%","","57.3%","35.8%","4.4%","1.6%","0.5%","0.4%"
"        Margin of Error","±1,617","","","±0.8","±0.3","±0.4","±0.3","±0.1","±0.4","±0.4","±0.7","±0.9","","±1.3","±0.9","±0.9","±0.7","±0.6","±0.4","±0.3","","±0.7","±1.3","±1.4","±1.0","","±1.4","±1.3","±0.5","±0.3","±0.2","±0.1"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,241,454","","","69.4%","8.7%","0.3%","0.3%","0.0%","10.7%","10.5%","99.0%","0.7%","","14.5%","17.1%","19.5%","19.8%","16.8%","9.2%","3.0%","","28.1%","25.8%","21.9%","24.2%","","14.2%","33.3%","18.3%","13.3%","11.8%","9.1%"
"        Margin of Error","±2,991","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.2","±0.3","±0.2","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","862,198","","","71.8%","8.3%","0.2%","0.2%","0.0%","10.0%","9.5%","99.1%","0.7%","","7.4%","15.5%","20.2%","22.3%","19.8%","11.2%","3.7%","","27.9%","24.1%","20.0%","28.0%","","5.4%","30.0%","21.8%","16.6%","15.1%","11.1%"
"        Margin of Error","±3,626","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","379,256","","","64.1%","9.8%","0.4%","0.6%","0.0%","12.4%","12.8%","98.6%","0.8%","","30.6%","20.7%","17.9%","14.2%","10.1%","4.8%","1.6%","","28.6%","29.8%","26.1%","15.5%","","34.0%","40.8%","10.5%","5.9%","4.3%","4.6%"
"        Margin of Error","±3,375","","","±0.5","±0.3","±0.1","±0.1","±0.1","±0.4","±0.3","±0.1","±0.1","","±0.5","±0.5","±0.3","±0.3","±0.3","±0.2","±0.1","","±0.5","±0.5","±0.5","±0.4","","±0.5","±0.6","±0.3","±0.3","±0.2","±0.2"
